Name,Style,Brewery,ABV,Min IBU,Max IBU,number_of_reviews
Adnams Southwold Bitter,Bitter - English,"Adnams plc, Sole Bay Brewery",-0.7307692307692311,0.0,0.0,-0.2796934865900383
Aecht Schlenkerla Eiche,Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,0.7692307692307694,0.0,-0.25,0.4789272030651341
Aecht Schlenkerla Fastenbier (Lentbeer),Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,-0.03846153846153833,0.0,-0.25,-0.038314176245210725
Aecht Schlenkerla Helles Lagerbier,Lager - Helles,Brauerei Heller-Trum / Schlenkerla,-0.653846153846154,-0.2,-0.5,0.7662835249042146
Aecht Schlenkerla Kräusen,Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,-0.5576923076923078,0.0,-0.25,-0.3065134099616858
Aecht Schlenkerla Rauchbier Märzen,Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,-0.23076923076923067,0.0,-0.25,3.049808429118774
Aecht Schlenkerla Rauchbier Urbock,Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,0.23076923076923067,0.0,-0.25,1.842911877394636
Aecht Schlenkerla Rauchbier Weizen,Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,-0.30769230769230765,0.0,-0.25,0.9195402298850575
Affligem Blond,Blonde Ale - Belgian,Brouwerij De Smedt / Brouwerij Affligem,0.30769230769230765,-0.5,-0.25,1.3831417624521072
Affligem Dubbel,Dubbel,Brouwerij De Smedt / Brouwerij Affligem,0.30769230769230765,-0.5,-0.25,0.6590038314176245
Affligem Noël,Strong Ale - Belgian Dark,Brouwerij De Smedt / Brouwerij Affligem,1.153846153846154,0.5,0.75,0.8314176245210728
Affligem Tripel,Tripel,Brouwerij De Smedt / Brouwerij Affligem,1.3461538461538463,0.0,0.25,0.8237547892720306
After Dark,Mild Ale - English Dark,Nelson Brewing Company,-0.3846153846153847,0.0,-0.25,-0.31417624521072796
Aftershock,California Common / Steam Beer,Palmetto Brewing Company,0.153846153846154,1.5,0.5,-0.3448275862068966
Agave Wheat,Herb and Spice Beer,Breckenridge Brewery,-0.6923076923076923,-1.5,0.25,0.23754789272030652
Agnus Dei (Abbey Pale Ale),Tripel,Brouwerij Corsendonk,0.576923076923077,0.0,0.25,1.3601532567049808
Aiko,Lager - European Strong,Rinkuškiai Alaus Darykloje,1.3461538461538463,-0.5,0.25,-0.26436781609195403
Akevitt,Porter - Baltic,HaandBryggeriet,0.3846153846153847,0.5,0.5,-0.07279693486590039
Akiraku,Happoshu,Suntory,0.0,-2.0,-1.75,-0.3524904214559387
Aktien Original 1857,Lager - European / Dortmunder Export,Bayreuther Bierbrauerei,-0.26923076923076933,0.3,-0.3,-0.3371647509578544
Alamo Golden Ale,Blonde Ale - American,Alamo Beer Co.,-0.3461538461538463,-0.5,-0.5,-0.19540229885057472
Alba Scots Pine Ale,Gruit / Ancient Herbed Ale,Williams Brothers Brewing Company,0.576923076923077,-2.0,-1.75,1.3831417624521072
Alberta Clipper,Porter - Imperial,Great Lakes Brewing Company,0.6923076923076923,1.5,0.75,-0.31417624521072796
Aldebaran,IPA - Belgian,Kuhnhenn Brewing Company,1.6346153846153848,3.0,2.25,-0.19540229885057472
Ale Of Fergus,Mild Ale - English Dark,Devils Backbone Brewing Company,-0.7692307692307694,0.0,-0.25,-0.34099616858237547
Ale To The Chief,Strong Ale - American,Avery Brewing Company,1.057692307692308,2.0,3.25,1.1111111111111112
Alhambra Negra,Lager - European Dark,"Grupo Cervezas Alhambra, SL",-0.23076923076923067,-0.5,0.25,-0.0421455938697318
Alice Porter,Porter - Baltic,BrewDog,-0.30769230769230765,0.5,0.5,-0.2222222222222222
Alkoholfrei,Low Alcohol Beer,Bitburger Brauerei,-2.0961538461538467,-1.0,-0.75,-0.32567049808429116
All Day IPA,IPA - American,Founders Brewing Company,-0.5,3.0,1.75,-0.1839080459770115
Allgäuer Hüttenbier,Lager - European / Dortmunder Export,Der HirschBrau/Privatbrauerei Höss,-0.30769230769230765,0.3,-0.3,-0.3486590038314176
Almaza Pilsner Beer,Pilsner - German,Brasserie Almaza S.A.L.,-0.6923076923076923,0.5,0.25,0.06130268199233716
Alpen Glow,Bock - Weizenbock,Fat Heads Brewery & Saloon,0.3846153846153847,-0.5,0.0,-0.3065134099616858
Alpen Stoff,Lager - European / Dortmunder Export,Bürgerbräu Bad Reichenhall,-0.26923076923076933,0.3,-0.3,-0.3448275862068966
Alpha King,Pale Ale - American,Three Floyds Brewing Co. & Brewpub,0.25384615384615394,0.5,0.75,5.509578544061303
Alpha Klaus Christmas (Xmas) Porter,Porter - American,Three Floyds Brewing Co. & Brewpub,0.0,0.0,0.25,2.1149425287356323
Alpha Kong,Strong Ale - Belgian Pale,Three Floyds Brewing Co. & Brewpub,1.730769230769231,0.0,0.25,0.06513409961685823
Alpine Glacier Lager,Lager - American,Tommyknocker Brewery,-0.576923076923077,1.0,0.5,0.2835249042145594
Alt-eration Ale,Altbier,Hops & Grain,-0.3846153846153847,0.5,0.75,-0.3524904214559387
Altbier,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,-0.5,0.5,0.75,0.36015325670498083
Amber,Altbier,Alaskan Brewing Co.,-0.26923076923076933,0.5,0.75,1.5478927203065134
Amber,Lager - American Amber / Red,Abita Brewing Co.,-0.576923076923077,-0.2,-0.25,1.2681992337164751
Amber Ale,Red Ale - American Amber / Red,Saint Arnold Brewing Company,0.076923076923077,0.5,0.5,0.2988505747126437
Amber Ale,Red Ale - American Amber / Red,The Duck-Rabbit Craft Brewery,-0.19230769230769235,0.5,0.5,0.4482758620689655
Amber Ale,Red Ale - Irish,Starr Hill Brewery,-0.4615384615384617,0.0,-0.25,0.011494252873563218
Ambergeddon,Red Ale - American Amber / Red,Ale Asylum,0.30769230769230765,0.5,0.5,0.14942528735632185
American Amber Ale,Red Ale - American Amber / Red,Rogue Ales,-0.26923076923076933,0.5,0.5,2.413793103448276
Amstel Gold,Lager - European Strong,Amstel Brouwerij B. V.,0.3846153846153847,-0.5,0.25,-0.3448275862068966
Amstel Lager,Lager - European Pale,Amstel Brouwerij B. V.,-0.3846153846153847,-0.2,-0.5,-0.12643678160919541
Amstel Light,Lager - Light,Amstel Brouwerij B. V.,-0.9615384615384617,-1.2,-1.15,1.4252873563218391
"Amsterdam Navigator 8,4",Lager - European Strong,Grolsch Bierbrouwerij N.V.,0.9230769230769234,-0.5,0.25,-0.3371647509578544
An Brain Blásta,Strong Ale - English,The Porterhouse Brewing Company,0.3846153846153847,2.0,1.25,-0.28735632183908044
Anchor Liberty Ale,IPA - American,Anchor Brewing Company,-0.03846153846153833,3.0,1.75,5.0727969348659006
Anchor Porter,Porter - American,Anchor Brewing Company,-0.153846153846154,0.0,0.25,4.739463601532567
Anchor Steam Beer,California Common / Steam Beer,Anchor Brewing Company,-0.423076923076923,1.5,0.5,6.35632183908046
Anchor Summer Beer,Wheat Beer - American Pale,Anchor Brewing Company,-0.5384615384615387,-1.0,0.0,1.6551724137931034
Andechs Weissbier Dunkel,Wheat Beer - Dunkelweizen,Klosterbrauerei Andechs,-0.3846153846153847,-1.0,-1.0,-0.22988505747126436
